0,1,2,3,4,5,6,7,8
Laughs: 7.22,Importance to Office Universe: 6.31,"Memorability, Quotability: 6.81",Emotional Weight: 6.33,,,,,
Laughs: 7.04,Importance to Office Universe: 6.21,"Memorability, Quotability: 6.33",Emotional Weight: 7.11,,,,,
Laughs: 7.21,Importance to Office Universe: 6.41,"Memorability, Quotability: 7.21",Emotional Weight: 5.88,,,,,
Laughs: 7.01,Importance to Office Universe: 6.99,"Memorability, Quotability: 6.77",Emotional Weight: 5.99,,,,,
Laughs: 6.34,Importance to Office Universe: 6.22,"Memorability, Quotability: 7.22",Emotional Weight: 7.01,,,,,
Laughs: 6.34,Importance to Office Universe: 7.44,"Memorability, Quotability: 6.37",Emotional Weight: 6.67,,,,,
Laughs: 7.07,Importance to Office Universe: 6.99,"Memorability, Quotability: 6.44",Emotional Weight: 6.33,,,,,
Laughs: 7.16,Importance to Office Universe: 6.68,"Memorability, Quotability: 6.33",Emotional Weight: 6.69,,,,,
Laughs: 7.19,Importance to Office Universe: 6.59,"Memorability, Quotability: 6.11",Emotional Weight: 7.01,,,,,
Laughs: 7.12,Importance to Office Universe: 7.12,"Memorability, Quotability: 6.78",Emotional Weight: 5.99,,,,,
Laughs: 7.21,Importance to Office Universe: 6.89,"Memorability, Quotability: 6.99",Emotional Weight: 5.99,,,,,
Laughs: 6.99,Importance to Office Universe: 7.43,"Memorability, Quotability: 6.55",Emotional Weight: 6.22,,,,,
Laughs: 7.11,Importance to Office Universe: 6.65,"Memorability, Quotability: 7.12",Emotional Weight: 6.34,,,,,
Laughs: 7.03,Importance to Office Universe: 6.23,"Memorability, Quotability: 7.01",Emotional Weight: 7.01,,,,,
Laughs: 7.01,Importance to Office Universe: 7.11,"Memorability, Quotability: 6.86",Emotional Weight: 6.31,,,,,
Laughs: 7.89,Importance to Office Universe: 6.55,"Memorability, Quotability: 6.96",Emotional Weight: 5.9,,,,,
Laughs: 7.95,Importance to Office Universe: 7.01,"Memorability, Quotability: 6.97",Emotional Weight: 5.4,,,,,
Laughs: 6.94,Importance to Office Universe: 7.23,"Memorability, Quotability: 6.15",Emotional Weight: 7.01,,,,,
Laughs: 7.11,Importance to Office Universe: 7.01,"Memorability, Quotability: 7.11",Emotional Weight: 6.11,,,,,
Laughs: 7.01,Importance to Office Universe: 7.29,"Memorability, Quotability: 6.32",Emotional Weight: 6.88,,,,,
Laughs: 6.89,Importance to Office Universe: 6.77,"Memorability, Quotability: 7.88",Emotional Weight: 6,,,,,
Laughs: 7.11,Importance to Office Universe: 6.99,"Memorability, Quotability: 6.45",Emotional Weight: 7.13,,,,,
Laughs: 7.11,Importance to Office Universe: 6.88,"Memorability, Quotability: 7.77",Emotional Weight: 5.96,,,,,
Laughs: 7.14,Importance to Office Universe: 7.66,"Memorability, Quotability: 7.01",Emotional Weight: 5.98,,,,,
Laughs: 7.11,Importance to Office Universe: 7.01,"Memorability, Quotability: 7.01",Emotional Weight: 6.74,,,,,
Laughs: 8.31,Importance to Office Universe: 5.98,"Memorability, Quotability: 6.55",Emotional Weight: 7.12,,,,,
Laughs: 6.75,Importance to Office Universe: 7.33,"Memorability, Quotability: 7.01",Emotional Weight: 6.88,,,,,
Laughs: 7.01,Importance to Office Universe: 7.01,"Memorability, Quotability: 6.88",Emotional Weight: 7.11,,,,,
Laughs: 6.01,Importance to Office Universe: 7.44,"Memorability, Quotability: 7.22",Emotional Weight: 7.34,,,,,
Laughs: 7.46,Importance to Office Universe: 7.97,"Memorability, Quotability: 5.99",Emotional Weight: 6.63,,,,,
Laughs: 8.49,Importance to Office Universe: 7.12,"Memorability, Quotability: 6.4",Emotional Weight: 6.1,,,,,
Laughs: 7.09,Importance to Office Universe: 7.03,"Memorability, Quotability: 7.67",Emotional Weight: 6.33,,,,,
Laughs: 7.22,Importance to Office Universe: 6.88,"Memorability, Quotability: 7.77",Emotional Weight: 6.33,,,,,
Laughs: 7.01,Importance to Office Universe: 7.01,"Memorability, Quotability: 7.01",Emotional Weight: 7.21,,,,,
Laughs: 6.04,Importance to Office Universe: 7.88,"Memorability, Quotability: 6.22",Emotional Weight: 8.12,,,,,
Laughs: 8.01,Importance to Office Universe: 6.45,"Memorability, Quotability: 7.99",Emotional Weight: 6.01,,,,,
Laughs: 7.01,Importance to Office Universe: 7.22,"Memorability, Quotability: 7.01",Emotional Weight: 7.33,,,,,
Laughs: 8.13,Importance to Office Universe: 7.34,"Memorability, Quotability: 7.14",Emotional Weight: 6.01,,,,,
Laughs: 8.53,Importance to Office Universe: 6.95,"Memorability, Quotability: 7.01",Emotional Weight: 6.17,,,,,
Laughs: 8.12,Importance to Office Universe: 6.01,"Memorability, Quotability: 8.77",Emotional Weight: 5.82,,,,,
Laughs: 6.33,Importance to Office Universe: 7.44,"Memorability, Quotability: 7.01",Emotional Weight: 8.01,,,,,
Laughs: 8.34,Importance to Office Universe: 6.23,"Memorability, Quotability: 7.11",Emotional Weight: 7.12,,,,,
Laughs: 8.6,Importance to Office Universe: 6.01,"Memorability, Quotability: 8.1",Emotional Weight: 6.12,,,,,
Laughs: 7.31,Importance to Office Universe: 8.01,"Memorability, Quotability: 5.88",Emotional Weight: 7.66,,,,,
Laughs: 7.78,Importance to Office Universe: 8.2,"Memorability, Quotability: 6.87",Emotional Weight: 6.1,,,,,
Laughs: 7.43,Importance to Office Universe: 7.44,"Memorability, Quotability: 6.88",Emotional Weight: 7.22,,,,,
Laughs: 8.1,Importance to Office Universe: 7.02,"Memorability, Quotability: 6.85",Emotional Weight: 7.03,,,,,
Laughs: 8.4,Importance to Office Universe: 7.2,"Memorability, Quotability: 7.01",Emotional Weight: 6.4,,,,,
Laughs: 7.8,Importance to Office Universe: 8.1,"Memorability, Quotability: 6.45",Emotional Weight: 6.68,,,,,
Michael and Jan kiss,Angela gifts Dwight the bobblehead; he gives her a key to his house,"""My animal deserves a lot of loving,"" Dwight's incredibly chauvinistic way of saying Angela matters to him","Jim wishes Pam a happy Valentine's Day with a practiced casualness. John Krasinski delivers the line perfectly, in a way that you know Jim spent all day thinking of how to say it just right. How to seem like a friend while half-hiding what he truly wants.",,,,,
Laughs: 7.15,Importance to Office Universe: 8.01,"Memorability, Quotability: 6.44",Emotional Weight: 7.44,,,,,
Laughs: 7.33,Importance to Office Universe: 7.2,"Memorability, Quotability: 7.51",Emotional Weight: 7.01,,,,,
Laughs: 7.02,Importance to Office Universe: 7.03,"Memorability, Quotability: 7.99",Emotional Weight: 7.11,,,,,
Laughs: 7.27,Importance to Office Universe: 7.16,"Memorability, Quotability: 8.76",Emotional Weight: 6.01,,,,,
Laughs: 8.01,Importance to Office Universe: 7.67,"Memorability, Quotability: 6.54",Emotional Weight: 6.99,,,,,
Laughs: 8.11,Importance to Office Universe: 8.01,"Memorability, Quotability: 7.02",Emotional Weight: 6.11,,,,,
Laughs: 7.56,Importance to Office Universe: 8.12,"Memorability, Quotability: 7.67",Emotional Weight: 5.91,,,,,
Laughs: 6.88,Importance to Office Universe: 6.78,"Memorability, Quotability: 7.17",Emotional Weight: 8.44,,,,,
Laughs: 8.12,Importance to Office Universe: 7.33,"Memorability, Quotability: 7.99",Emotional Weight: 5.88,,,,,
Laughs: 7.78,Importance to Office Universe: 7.11,"Memorability, Quotability: 7.44",Emotional Weight: 7.07,,,,,
Laughs: 8.53,Importance to Office Universe: 7.21,"Memorability, Quotability: 7.3",Emotional Weight: 6.4,,,,,
Laughs: 7.8,Importance to Office Universe: 7.41,"Memorability, Quotability: 7.14",Emotional Weight: 7.1,,,,,
Laughs: 7.15,Importance to Office Universe: 8.41,"Memorability, Quotability: 6.22",Emotional Weight: 7.71,,,,,
Laughs: 6.55,Importance to Office Universe: 8.01,"Memorability, Quotability: 6.78",Emotional Weight: 8.16,,,,,
Laughs: 7.12,Importance to Office Universe: 8.33,"Memorability, Quotability: 7.02",Emotional Weight: 7.04,,,,,
Laughs: 8.41,Importance to Office Universe: 8.01,"Memorability, Quotability: 7.12",Emotional Weight: 5.98,,,,,
"Michael screaming ""SCISSOR ME"" to Erin as she chucks scissors across the office",Sabre's Christian Slater intro video making clear it's a scam from the outset,"David Wallace rocking out the ""SUCK IT"" theme song with his son on the drums",,,,,,
Laughs: 7.95,Importance to Office Universe: 8.55,"Memorability, Quotability: 6.83",Emotional Weight: 6.21,,,,,
Laughs: 7.51,Importance to Office Universe: 8.12,"Memorability, Quotability: 7.14",Emotional Weight: 6.8,,,,,
Laughs: 7.07,Importance to Office Universe: 7.17,"Memorability, Quotability: 7.12",Emotional Weight: 8.21,,,,,
Laughs: 7.11,Importance to Office Universe: 8.54,"Memorability, Quotability: 7.01",Emotional Weight: 7.03,,,,,
Laughs: 7.77,Importance to Office Universe: 7.01,"Memorability, Quotability: 8.88",Emotional Weight: 6.03,,,,,
Laughs: 7.03,Importance to Office Universe: 8.22,"Memorability, Quotability: 7.21",Emotional Weight: 7.23,,,,,
Laughs: 8.88,Importance to Office Universe: 6.99,"Memorability, Quotability: 8.53",Emotional Weight: 5.3,,,,,
Laughs: 8.01,Importance to Office Universe: 6.88,"Memorability, Quotability: 8.33",Emotional Weight: 6.55,,,,,
Laughs: 8.19,Importance to Office Universe: 7.01,"Memorability, Quotability: 7.88",Emotional Weight: 6.71,,,,,
Creed's massive weed knowledge.,"Ryan forcing Dwight to search his car ""the hard way,"" involving search warrants, favors from cops, and judges","A forcibly silent Jim — after an unprecedented game of owe-me-a-coke with Pam — staring meaningfully into her eyes when she jokes, ""You can tell me anything."" They are not together. And he cannot","After a day in which Dwight delivered his hot pee for Michael in a coffee cup, Jim — stunningly un-self-aware regarding all he does for Pam — says of Dwight: ""I don't get it...What is he getting out of that relationship?""",,,,,
Laughs: 8.2,Importance to Office Universe: 7.12,"Memorability, Quotability: 8.3",Emotional Weight: 6.22,,,,,
Laughs: 8.44,Importance to Office Universe: 7.89,"Memorability, Quotability: 7.48",Emotional Weight: 6.03,,,,,
Laughs: 8.2,Importance to Office Universe: 8.5,"Memorability, Quotability: 6.85",Emotional Weight: 6.3,,,,,
Laughs: 7.41,Importance to Office Universe: 8.3,"Memorability, Quotability: 7.12",Emotional Weight: 7.03,,,,,
Laughs: 8.19,Importance to Office Universe: 8.65,"Memorability, Quotability: 7.02",Emotional Weight: 6.12,,,,,
Laughs: 7.31,Importance to Office Universe: 8.56,"Memorability, Quotability: 7.01",Emotional Weight: 7.12,,,,,
Laughs: 7.88,Importance to Office Universe: 8.79,"Memorability, Quotability: 7.33",Emotional Weight: 6.01,,,,,
Laughs: 8.21,Importance to Office Universe: 7.01,"Memorability, Quotability: 8.3",Emotional Weight: 6.49,,,,,
Laughs: 8.21,Importance to Office Universe: 7.11,"Memorability, Quotability: 8.02",Emotional Weight: 6.69,,,,,
Laughs: 8.61,Importance to Office Universe: 6.44,"Memorability, Quotability: 8.7",Emotional Weight: 6.44,,,,,
Laughs: 8.55,Importance to Office Universe: 8.58,"Memorability, Quotability: 7.16",Emotional Weight: 6.02,,,,,
Laughs: 8.11,Importance to Office Universe: 7.11,"Memorability, Quotability: 8.1",Emotional Weight: 7.03,,,,,
Laughs: 7.1,Importance to Office Universe: 7.21,"Memorability, Quotability: 8.38",Emotional Weight: 7.77,,,,,
Laughs: 7.44,Importance to Office Universe: 8.12,"Memorability, Quotability: 7.13",Emotional Weight: 7.77,,,,,
Laughs: 8.71,Importance to Office Universe: 7.12,"Memorability, Quotability: 8.57",Emotional Weight: 6.31,,,,,
Laughs: 8.44,Importance to Office Universe: 7.02,"Memorability, Quotability: 7.5",Emotional Weight: 7.77,,,,,
Laughs: 8.13,Importance to Office Universe: 7.55,"Memorability, Quotability: 7.65",Emotional Weight: 7.59,,,,,
Laughs: 8.97,Importance to Office Universe: 7.01,"Memorability, Quotability: 8.99",Emotional Weight: 6.01,,,,,
Laughs: 8.54,Importance to Office Universe: 8.56,"Memorability, Quotability: 6.79",Emotional Weight: 7.15,,,,,
Laughs: 8.66,Importance to Office Universe: 8.01,"Memorability, Quotability: 8.04",Emotional Weight: 6.55,,,,,
Laughs: 8.4,Importance to Office Universe: 8.69,"Memorability, Quotability: 6.21",Emotional Weight: 8.04,,,,,
Laughs: 8.33,Importance to Office Universe: 7.78,"Memorability, Quotability: 7.68",Emotional Weight: 7.55,,,,,
Laughs: 8.22,Importance to Office Universe: 8.01,"Memorability, Quotability: 8.21",Emotional Weight: 7.11,,,,,
Laughs: 8.67,Importance to Office Universe: 8.12,"Memorability, Quotability: 8.67",Emotional Weight: 6.11,,,,,
Laughs: 7.69,Importance to Office Universe: 8.11,"Memorability, Quotability: 7.45",Emotional Weight: 8.33,,,,,
Laughs: 8.53,Importance to Office Universe: 8.12,"Memorability, Quotability: 8.55",Emotional Weight: 6.54,,,,,
Laughs: 8.01,Importance to Office Universe: 8.77,"Memorability, Quotability: 8.01",Emotional Weight: 7.01,,,,,
Laughs: 7.42,Importance to Office Universe: 8.57,"Memorability, Quotability: 7.15",Emotional Weight: 8.66,,,,,
Laughs: 8.11,Importance to Office Universe: 7.77,"Memorability, Quotability: 8.89",Emotional Weight: 7.16,,,,,
Laughs: 8.15,Importance to Office Universe: 8.88,"Memorability, Quotability: 8.15",Emotional Weight: 6.77,,,,,
Laughs: 7.89,Importance to Office Universe: 8.54,"Memorability, Quotability: 7.01",Emotional Weight: 8.55,,,,,
Laughs: 8.81,Importance to Office Universe: 7.23,"Memorability, Quotability: 8.88",Emotional Weight: 7.13,,,,,
Laughs: 8.88,Importance to Office Universe: 7.88,"Memorability, Quotability: 8.99",Emotional Weight: 6.33,,,,,
Laughs: 8.55,Importance to Office Universe: 8.22,"Memorability, Quotability: 7.14",Emotional Weight: 8.33,,,,,
Laughs: 7.22,Importance to Office Universe: 8.33,"Memorability, Quotability: 8.01",Emotional Weight: 8.77,,,,,
Laughs: 7.77,Importance to Office Universe: 8.88,"Memorability, Quotability: 7.01",Emotional Weight: 8.88,,,,,
Laughs: 8.71,Importance to Office Universe: 8.21,"Memorability, Quotability: 8.55",Emotional Weight: 7.07,,,,,
Laughs: 7.56,Importance to Office Universe: 8.44,"Memorability, Quotability: 7.88",Emotional Weight: 8.88,,,,,
Laughs: 8.56,Importance to Office Universe: 8.66,"Memorability, Quotability: 8.58",Emotional Weight: 7.01,,,,,
Laughs: 8.89,Importance to Office Universe: 8.44,"Memorability, Quotability: 8.5",Emotional Weight: 6.99,,,,,
Laughs: 8.61,Importance to Office Universe: 8.52,"Memorability, Quotability: 7.79",Emotional Weight: 8.02,,,,,
Laughs: 8.59,Importance to Office Universe: 8.52,"Memorability, Quotability: 8.18",Emotional Weight: 7.77,,,,,
Laughs: 8.97,Importance to Office Universe: 8.19,"Memorability, Quotability: 8.11",Emotional Weight: 7.88,,,,,
Laughs: 8.77,Importance to Office Universe: 8.21,"Memorability, Quotability: 8.2",Emotional Weight: 8.08,,,,,
Laughs: 8.71,Importance to Office Universe: 7.86,"Memorability, Quotability: 8.21",Emotional Weight: 8.54,,,,,
Laughs: 8.6,Importance to Office Universe: 8.99,"Memorability, Quotability: 7.76",Emotional Weight: 8.01,,,,,
Laughs: 8.01,Importance to Office Universe: 8.76,"Memorability, Quotability: 8.33",Emotional Weight: 8.55,,,,,
Laughs: 8.79,Importance to Office Universe: 8.01,"Memorability, Quotability: 8.89",Emotional Weight: 7.99,,,,,
The dark turn where Michael Scarn chokes out Oscar's speedskating character with the American flag,The Scarn dance. It's beautiful and I do it every night before I go to bed,Andy's overwrought bartender voice that feels like a cousin of the Prison Mike voice,,,,,,
Laughs: 8.18,Importance to Office Universe: 9.01,"Memorability, Quotability: 8.21",Emotional Weight: 8.74,,,,,
Laughs: 9.67,Importance to Office Universe: 8.01,"Memorability, Quotability: 8.88",Emotional Weight: 8.12,,,,,
Laughs: 8.7,Importance to Office Universe: 8.9,"Memorability, Quotability: 8.5",Emotional Weight: 8.8,,,,,
Laughs: 8.26,Importance to Office Universe: 9.09,"Memorability, Quotability: 9.01",Emotional Weight: 8.71,,,,,
Laughs: 8.66,Importance to Office Universe: 8.78,"Memorability, Quotability: 9.19",Emotional Weight: 8.53,,,,,
Laughs: 8.33,Importance to Office Universe: 9.01,"Memorability, Quotability: 9.11",Emotional Weight: 8.89,,,,,
Laughs: 8.19,Importance to Office Universe: 8.99,"Memorability, Quotability: 8.98",Emotional Weight: 9.33,,,,,
Laughs: 8.83,Importance to Office Universe: 9.1,"Memorability, Quotability: 8.51",Emotional Weight: 9.12,,,,,
Laughs: 8.11,Importance to Office Universe: 8.96,"Memorability, Quotability: 9.47",Emotional Weight: 9.09,,,,,
Laughs: 8.13,Importance to Office Universe: 9.13,"Memorability, Quotability: 9.03",Emotional Weight: 9.54,,,,,
"www.creedthoughts.gov.www/creedthoughts and Ryan's assessment that, even for the internet, it's shocking",Dwight's brief tenure as boss amid Michael's delusion that he's being promoted and the subsequent implementation of Schrute Bucks,Dwight for some reason dipping with Big League Chew bubble gum,Jan gets fake boobs and Michael falls in love via emotional magnificence,"Michael, Jim, and Karen, and ultimately Ryan going for the same job in NYC",,,,
Laughs: 9.13,Importance to Office Universe: 8.77,"Memorability, Quotability: 9.4",Emotional Weight: 8.56,,,,,
Laughs: 10,Importance to Office Universe: 9.03,"Memorability, Quotability: 9.88",Emotional Weight: 7.15,,,,,
Laughs: 7.78,Importance to Office Universe: 9.3,"Memorability, Quotability: 9.3",Emotional Weight: 10,,,,,
Laughs: 8.53,Importance to Office Universe: 9.55,"Memorability, Quotability: 8.99",Emotional Weight: 9.57,,,,,
Laughs: 8.78,Importance to Office Universe: 9.03,"Memorability, Quotability: 9.22",Emotional Weight: 9.65,,,,,
Laughs: 9.45,Importance to Office Universe: 9.01,"Memorability, Quotability: 9.12",Emotional Weight: 9.13,,,,,
Laughs: 9.23,Importance to Office Universe: 9.4,"Memorability, Quotability: 9.11",Emotional Weight: 9.41,,,,,
"Stanley wins the fine work award (last year he got ""great work,"" he deadpans)",Kevin gets an award for the stinkiest bowel movement,"Pam, with an assist from Jim, gets the whitest tennis shoes Dundie, for once, instead of the longest engagement award",,,,,,
Laughs: 9.25,Importance to Office Universe: 9.1,"Memorability, Quotability: 9.3",Emotional Weight: 9.6,,,,,
"Every 'Bridgerton' Season 2 near-kiss, ranked","'Severance' food, ranked","'Ted Lasso' footballers, ranked","'Downton Abbey's most dramatic episodes, ranked",All Marvel Cinematic Universe movies ranked worst to best,,,,
TECH,SCIENCE,LIFE,SOCIAL GOOD,ENTERTAINMENT,BEST PRODUCTS,DEALS,,
About Mashable,Contact Us,We're Hiring,Newsletters,Sitemap,,,,
,,,,,,,,
About Ziff Davis,Privacy Policy,Terms of Use,Advertise,Accessibility,Do Not Sell My Personal Information,,AdChoices,
